event,wall_time_s,env_step,episode,epsilon,buffer_size,train_steps,mean_loss,loss_n_finite,loss_n_total,win_rate_pct,mean_return,mean_ep_len,mean_max_tile,best_max_tile
episode,605.1855812501162,78247,650,0.8513307,78247,76248,1.7112015555649995,2000,2000,0.0,226.18834901805468,111.78,100.48,256
env_step,619.1463203751482,80000,663,0.848,80000,78001,1.7819881304800511,2000,2000,,,,,
episode,652.9628410420846,84403,700,0.8396343,84403,82404,1.6503850556313993,2000,2000,0.0,252.34743023819746,123.12,112.0,256
env_step,698.3707800840493,90000,745,0.829,90000,88001,1.6587309531718493,2000,2000,,,,,
episode,701.8333950000815,90490,750,0.8280689999999999,90490,88491,1.6736779644489288,2000,2000,0.0,249.7579589861004,121.74,113.28,256
episode,751.6775411251001,97054,800,0.8155974,97054,95055,1.9356936056166887,2000,2000,0.0,273.1899634748047,131.28,127.36,256
env_step,773.4575013751164,100000,822,0.81,100000,98001,1.8837553979158401,2000,2000,,,,,
episode,796.5276976670139,102956,850,0.8043836,100000,100957,2.014575252458453,2000,2000,0.0,239.67095491203352,118.04,99.84,256
episode,845.2004661669489,109101,900,0.7927081,100000,107102,2.109693587988615,2000,2000,0.0,253.32129180294172,122.9,112.64,256
env_step,852.0075949169695,110000,907,0.791,100000,108001,2.1084525191485883,2000,2000,,,,,
episode,886.7238495841157,115041,950,0.7814221,100000,113042,1.9756039750874042,2000,2000,0.0,242.4056017345898,118.8,106.24,256
env_step,919.603783583967,120000,987,0.772,100000,118001,2.0011915224194525,2000,2000,,,,,
episode,930.3839960840996,121626,1000,0.7689106,100000,119627,1.9023156108409167,2000,2000,0.0,272.8456552961467,131.7,120.96,256
episode,969.1300216671079,127298,1050,0.7581338,100000,125299,2.1162052114456893,2000,2000,0.0,230.53697860833057,113.44,100.48,256
env_step,987.6649352090899,130000,1069,0.753,100000,128001,2.056961899548769,2000,2000,,,,,
episode,1013.0541994171217,133858,1100,0.7456697999999999,100000,131859,2.0336986376047133,2000,2000,0.0,276.51981102635136,131.2,129.92,256
env_step,1053.263583916938,140000,1147,0.734,100000,138001,2.0280191247463226,2000,2000,,,,,
episode,1055.3120088339783,140315,1150,0.7334015,100000,138316,2.0197582726478576,2000,2000,0.0,267.68076888081237,129.14,120.32,256
episode,1096.4898072499782,146608,1200,0.7214448,100000,144609,1.9766134684830905,2000,2000,0.0,259.20328344463155,125.86,115.2,256
env_step,1118.6983272500802,150000,1228,0.7150000000000001,100000,148001,2.1019691949635746,2000,2000,,,,,
episode,1135.8475342090242,152625,1250,0.7100124999999999,100000,150626,2.0862539188563822,2000,2000,0.0,245.9210041039026,120.34,110.72,256
episode,1177.5870609590784,158975,1300,0.6979474999999999,100000,156976,1.8433584638983012,2000,2000,0.0,264.3710635430111,127.0,121.6,256
env_step,1184.294424874941,160000,1307,0.696,100000,158001,1.8813860545903445,2000,2000,,,,,
episode,1220.8384852090385,165572,1350,0.6854132,100000,163573,2.214645969569683,2000,2000,0.0,276.69758027613665,131.94,128.64,256
env_step,1249.8085594589356,170000,1384,0.677,100000,168001,2.3034734286367895,2000,2000,,,,,
episode,1262.7375897921156,171971,1400,0.6732551,100000,169972,2.2866504164487123,2000,2000,0.0,265.2823190731207,127.98,115.2,256
episode,1304.2512199999765,178200,1450,0.66142,100000,176201,2.291965876534581,2000,2000,0.0,256.7785698161058,124.58,113.28,256
env_step,1317.5241883751005,180000,1464,0.658,100000,178001,2.160816488340497,2000,2000,,,,,
