event,wall_time_s,env_step,episode,epsilon,buffer_size,train_steps,mean_loss,loss_n_finite,loss_n_total,win_rate_pct,mean_return,mean_ep_len,mean_max_tile,best_max_tile
episode,4109.042545000091,771737,4750,0.7478992466666667,100000,769611,2.2830812135636807,2000,2000,0.0,239.58444114741195,117.02,108.16,256
episode,4153.563922875095,777747,4800,0.74593598,100000,775621,2.3322951606959106,2000,2000,0.0,245.67587896048283,120.2,113.92,256
env_step,4170.109784292057,780000,4818,0.7452,100000,777874,2.3505471518635748,2000,2000,,,,,
episode,4196.31239883299,783877,4850,0.7439335133333334,100000,781751,2.386498287111521,2000,2000,0.0,252.12236987442134,122.6,110.08,256
episode,4233.2477087921,789520,4900,0.7420901333333334,100000,787394,2.4474972056895496,2000,2000,0.0,227.0558100530292,112.86,94.08,256
env_step,4236.096157582942,790000,4903,0.7419333333333333,100000,787874,2.438919112727046,2000,2000,,,,,
episode,4269.5024443750735,795303,4950,0.74020102,100000,793177,2.453065786495805,2000,2000,0.0,233.74001495725264,115.66,103.68,256
env_step,4300.447817167034,800000,4991,0.7386666666666667,100000,797874,2.4007926747202872,2000,2000,,,,,
greedy_eval,4300.448552875081,800000,4991,0.7386666666666667,100000,797874,2.4007926747202872,2000,2000,0.0,,124.264,110.16,
episode,4335.375012417091,801187,5000,0.7382789133333334,100000,799061,2.390171256691217,2000,2000,0.0,238.50169278559991,117.68,101.12,256
episode,4372.31176933297,806686,5050,0.7364825733333333,100000,804560,2.397227494224906,2000,2000,0.0,222.09964781536027,109.98,92.16,256
env_step,4398.761486917036,810000,5079,0.7354,100000,807874,2.418549671754241,2000,2000,,,,,
episode,4420.476014208049,812703,5100,0.73451702,100000,810577,2.5663644035309554,2000,2000,0.0,245.12667700352688,120.34,108.8,256
episode,4464.188557417132,818238,5150,0.7327089200000001,100000,816112,2.5217807783186434,2000,2000,0.0,225.01695772250298,110.7,88.96,128
env_step,4477.480945833027,820000,5164,0.7321333333333333,100000,817874,2.520012973576784,2000,2000,,,,,
episode,4506.147345833015,823899,5200,0.7308596599999999,100000,821773,2.5128305254429577,2000,2000,0.0,227.83296145055593,113.22,94.08,256
episode,4544.943037375109,829537,5250,0.7290179133333333,100000,827411,2.4959972066879272,2000,2000,0.0,228.8881591893887,112.76,101.76,256
env_step,4547.9905466251075,830000,5252,0.7288666666666667,100000,827874,2.49639786824584,2000,2000,,,,,
episode,4583.17255391716,835211,5300,0.7271644066666667,100000,833085,2.3747694824039938,2000,2000,0.0,230.59753028957715,113.48,100.8,256
env_step,4614.173506833147,840000,5338,0.7256,100000,837874,2.3687480588555334,2000,2000,,,,,
episode,4623.0253947500605,841336,5350,0.7251635733333334,100000,839210,2.4083208363503217,2000,2000,0.0,251.56841448882327,122.5,114.56,256
episode,4665.759867458139,848014,5400,0.7229820933333333,100000,845888,2.4689658769369127,2000,2000,0.0,278.851855636533,133.56,122.56,256
env_step,4678.591340708081,850000,5416,0.7223333333333333,100000,847874,2.420146847590804,2000,2000,,,,,
episode,4704.2304,853916,5450,0.7210541066666667,100000,851790,2.4618474682718516,2000,2000,0.0,242.31987892500186,118.04,108.8,256
episode,4749.9592120421585,859694,5500,0.7191666266666666,100000,857568,2.4243842206150292,2000,2000,0.0,233.45300296744924,115.56,99.84,256
env_step,4752.186291916994,860000,5503,0.7190666666666666,100000,857874,2.4257909294962885,2000,2000,,,,,
episode,4785.593463792,865479,5550,0.71727686,100000,863353,2.4211714614778757,2000,2000,0.0,235.77160253296083,115.7,106.88,256
env_step,4813.579759916989,870000,5588,0.7158,100000,867874,2.4296021488457917,2000,2000,,,,,
episode,4822.6920839170925,871273,5600,0.7153841533333334,100000,869147,2.3670166358500717,2000,2000,0.0,234.92326218929767,115.88,98.88,128
episode,4858.911454749992,876722,5650,0.7136041466666667,100000,874596,2.3685219285190104,2000,2000,0.0,219.37929101202465,108.98,95.36,256
env_step,4878.748276792001,880000,5678,0.7125333333333334,100000,877874,2.413825688511133,2000,2000,,,,,
episode,4894.284880958032,882511,5700,0.7117130733333333,100000,880385,2.3492611941993236,2000,2000,0.0,235.16550347052942,115.78,108.16,256
