event,wall_time_s,env_step,episode,epsilon,buffer_size,train_steps,mean_loss,loss_n_finite,loss_n_total,win_rate_pct,mean_return,mean_ep_len,mean_max_tile,best_max_tile
env_step,6637.525925374823,130000,1084,0.753,43691,128001,6.680889069497585,2000,2000,,,,,
episode,6737.994045207975,131902,1100,0.7493862,44329,129903,6.720151481956243,2000,2000,0.0,245.8801408868426,120.8,107.52,256
episode,7063.75479770801,138491,1150,0.7368671,46545,136492,6.822100610762835,2000,2000,0.0,275.5921619407541,131.78,132.48,256
env_step,7142.686062415829,140000,1162,0.734,47052,138001,6.712958028972149,2000,2000,,,,,
episode,7355.059526707977,144061,1200,0.7262841,48420,142062,6.591170258790255,2000,2000,0.0,225.94285337194097,111.4,97.6,256
env_step,7665.966588790994,150000,1248,0.7150000000000001,50416,148001,6.674972738444805,2000,2000,,,,,
greedy_eval,7665.969050124986,150000,1248,0.7150000000000001,50416,148001,6.674972738444805,2000,2000,0.0,,154.212,135.168,
episode,7714.098669125,150150,1250,0.714715,50467,148151,6.722544997870922,2000,2000,0.0,250.42006094029614,121.78,112.64,256
episode,8035.933324208017,156299,1300,0.7030319,52531,154300,6.807842187881469,2000,2000,0.0,254.10554478038935,122.98,106.88,256
env_step,8230.069715374848,160000,1331,0.696,53775,158001,6.683600357532502,2000,2000,,,,,
episode,8357.349734707968,162425,1350,0.6913925,54589,160426,6.645966350853443,2000,2000,0.0,252.37420834879805,122.52,113.28,256
episode,8669.46722754091,168336,1400,0.6801615999999999,56576,166337,6.552718712180853,2000,2000,0.0,242.52221327300268,118.22,104.96,256
env_step,8758.038252082886,170000,1413,0.677,57134,168001,6.643030672609806,2000,2000,,,,,
episode,8991.663280499866,174578,1450,0.6683018000000001,58671,172579,6.590934259533882,2000,2000,0.0,258.6097185748633,124.84,117.12,256
episode,9275.796617500018,179996,1500,0.6580076,60494,177997,6.7409784893095495,2000,2000,0.0,220.5936877558875,108.36,99.84,256
env_step,9276.016465666005,180000,1500,0.658,60495,178001,6.744505812555552,2000,2000,,,,,
episode,9584.032112916,185854,1550,0.6468774,62467,183855,6.665716044247151,2000,2000,0.0,239.0814170498234,117.16,103.68,256
env_step,9797.427756415913,190000,1584,0.639,63859,188001,6.677845283508301,2000,2000,,,,,
episode,9890.86708287499,191792,1600,0.6355952,64461,189793,6.734495678037405,2000,2000,0.0,242.31343543155128,118.76,105.6,256
episode,10221.513568040915,198078,1650,0.6236518,66576,196079,6.65835946393013,2000,2000,0.0,261.61358257028814,125.72,123.2,256
env_step,10322.851585082943,200000,1667,0.62,67222,198001,6.607384775191545,2000,2000,,,,,
greedy_eval,10322.853524665814,200000,1667,0.62,67222,198001,6.607384775191545,2000,2000,0.0,,162.352,137.376,
episode,10580.969504499808,204099,1700,0.6122119,68599,202100,6.578774964600801,2000,2000,0.0,248.12907189606278,120.42,115.2,256
env_step,10892.079356874805,210000,1749,0.601,70583,208001,6.750457609415054,2000,2000,,,,,
episode,10897.83977395785,210109,1750,0.6007929000000001,70620,208110,6.754011033564806,2000,2000,0.0,248.63407976555595,120.2,112.64,256
episode,11237.066822165856,216546,1800,0.5885626,72779,214547,6.623633932322264,2000,2000,0.0,268.50637356935,128.74,119.04,256
env_step,11419.632294165902,220000,1828,0.5820000000000001,73940,218001,6.480782783180476,2000,2000,,,,,
episode,11581.327871790854,223038,1850,0.5762278000000001,74959,221039,6.648229914456606,2000,2000,0.0,272.6824186220951,129.84,123.2,512
episode,11906.455052624922,229287,1900,0.5643547,77055,227288,6.538820084065199,2000,2000,0.0,261.207933319726,124.98,120.32,512
env_step,11943.874775415985,230000,1905,0.563,77294,228001,6.586301836580038,2000,2000,,,,,
episode,12246.848545499844,235765,1950,0.5520465,79231,233766,6.496533581852913,2000,2000,0.0,272.4021700820799,129.56,126.08,256
env_step,12469.553905040957,240000,1982,0.544,80651,238001,6.608664381980896,2000,2000,,,,,
episode,12594.811555875,242381,2000,0.5394761,81451,240382,6.431863061875105,2000,2000,0.0,277.42474104939373,132.32,126.72,256
episode,12928.657637915807,248794,2050,0.5272914,83603,246795,6.431635149627924,2000,2000,0.0,266.6442301594137,128.26,120.32,256
env_step,12977.419671874959,250000,2059,0.525,84008,248001,6.512916968256235,2000,2000,,,,,
greedy_eval,12977.421130499803,250000,2059,0.525,84008,248001,6.512916968256235,2000,2000,0.0,,143.84,127.296,
episode,13197.400480624987,255150,2100,0.515215,85742,253151,6.434935236155987,2000,2000,0.0,265.27364291823557,127.12,113.28,256
env_step,13384.960405166028,260000,2136,0.506,87372,258001,6.386666512787342,2000,2000,,,,,
episode,13438.692510165973,261428,2150,0.5032868,87852,259429,6.40182939837873,2000,2000,0.0,263.16609431364395,125.56,109.44,256
episode,13730.266577290837,268324,2200,0.49018439999999996,90165,266325,6.489422417968512,2000,2000,0.0,292.9259610942916,137.92,132.48,512
env_step,13792.232548207976,270000,2212,0.487,90727,268001,6.572108707666397,2000,2000,,,,,
episode,13957.439406040823,274468,2250,0.4785108,92227,272469,6.349731604129076,2000,2000,0.0,253.72606094060097,122.88,110.08,256
env_step,14165.56172083295,280000,2294,0.46799999999999997,94085,278001,6.620795722484589,2000,2000,,,,,
episode,14196.77046375,280842,2300,0.46640020000000004,94369,278843,6.453258954137564,2000,2000,0.0,265.92679764262886,127.48,119.04,256
episode,14472.867944290861,286977,2350,0.4547437000000001,96432,284978,6.395183263346553,2000,2000,0.0,255.07587144994383,122.7,111.36,256
env_step,14586.202162707923,290000,2373,0.44900000000000007,97447,288001,6.419923770308494,2000,2000,,,,,
episode,14734.150396666024,293549,2400,0.44225690000000006,98641,291550,6.442615669459104,2000,2000,0.0,276.7350609535535,131.44,129.92,512
env_step,15123.694018915994,300000,2446,0.43000000000000005,100000,298001,6.328871408343315,2000,2000,,,,,
greedy_eval,15123.694797207834,300000,2446,0.43000000000000005,100000,298001,6.328871408343315,2000,2000,0.0,,178.586,165.728,
